Strains,Year,States/Countries,Organism,Site,MLST,Clade,ST258 CPS,KPC,Tn44011,Integration site,Imipenem,Meropenem,Ertapenem,Doripenem,Ceftazidime,Cefotaxime,Cefepime,Aztreonam,Ticarcillin/Clavulanate,Piperacillin/Tazobactam,Sulphamethoxazole/Trimethoprim,Amikacin,Gentamicin,Tobramycin,Ciprofloxacin,Levofloxacin,Doxycycline,Minocycline,Tigecycline,Colistin,Polymyxin B,_-lactamase,Aminoglycoside Resistance,Quinolone Resistance,ompK35,ompK36,FIIK1(pNJST258N1),FIA(pNJST258N2),rep (pNJST258N3 or pNJST258C3),colE(pNJST258N4 or pNJST258C2),rep(pNJST258N5),rep(pNJST258C1),FIIK23,I2,R,X3,L/M,N,A/C,X4,FIIK5
1805,2010,PA,K. pneumoniae,Deep wound,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,> 16,> 16,4,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 promoter ins,1,,,1,,,,,1,1,,,,,
1806,2010,PA,K. pneumoniae,Blood,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,16,8,4,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,,,1,1,,,,,
1807,2010,PA,K. pneumoniae,Blood,258,1,cps-1,KPC-2,a,3,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,>8,>8,>2,>8,8,16,2,4,>4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,,,,1,,,,,1,1,,,,,
1808,2010,PA,K. pneumoniae,Blood,258,2,cps-2,KPC-3,b,,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,2/38,> 32,> 8,> 8,> 2,> 8,8,8,2,> 4,> 4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 promoter ins,,,1,1,,1,,1,1,,,,,,
1809,2010,PA,K. pneumoniae,Blood,258,2,cps-2,KPC-3,b,,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,2/38,> 32,> 8,> 8,> 2,> 8,8,8,2,> 4,> 4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 promoter ins,,,1,1,,1,,1,1,,,,,,
1810,2011,PA,K. pneumoniae,BAL ,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,> 16,16,2,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 promoter ins,1,,,1,,,,,1,1,,,,,
1811,2010,PA,K. pneumoniae,Urine,258,2,cps-2,KPC-3,b,2,8,> 8,> 4,> 2,> 16,> 32,8,> 16,> 128/2,> 64/4,<= 0.5/9.5,32,<= 1,> 8,> 2,> 8,8,8,2,0.5,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,,,1,1,,1,,1,,,,,,,
1812,2011,PA,K. pneumoniae,Blood,258,1,cps-1,KPC-2,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,>8,>8,>2,>8,16,16,2,>4,>4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 ins&pro del,1,,,1,,,,,1,1,,,,,
1813,2011,PA,K. pneumoniae,Urine,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,> 16,> 16,4,> 4,> 4,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Tyr; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,IS5 ins&pro del,1,,,1,,,,,1,1,,,,,
1814,2011,NYC,K. pneumoniae,,258,2,cps-2,KPC-3,d,1,8,8,>4,>2,>16,32,>16,>16,>128/2,>64/4,>4/76,16,2,>8,>2,>8,<2,4,0.5,>4,>4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 , strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,1,1,1,1,1,,,,1,,,,,
1815,2011,NYC,K. pneumoniae,,258,1,cps-1,-,-,,2,4,> 4,> 2,>16,>32,>16,>16,> 128/2,> 64/4,> 4/76,>32,2,>8,>2,>8,8,8,1,>4,>4,"-, SHV-11, SHV-12","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,,,,1,,1,,,
1816,2010,PA,K. pneumoniae,Deep wound,258,2,cps-2,KPC-3,b,2,> 8,> 8,> 4,> 2,> 16,32,16,> 16,> 128/2,> 64/4,<= 0.5/9.5,32,2,> 8,> 2,> 8,8,8,2,<= 0.25,0.5,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,,,1,1,,1,,1,,,,,,,
1817,2010,PA,K. pneumoniae,BAL ,258,2,cps-2,KPC-3,b,,4,4,4,2,>16,4,4,>16,>128/2,64/4,>4/76,16,>8,>8,>2,>8,4,4,0.5,1,1,KPC-3,"aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,1,,,1,,,1,,,,,,
1818,2010,PA,K. pneumoniae,Urine,258,2,cps-2,KPC-3,b,2,8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,> 8,> 8,> 2,> 8,16,> 16,4,1,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,,,1,1,,1,,1,1,,,,,,
1819,2011,PA,K. pneumoniae,Sputum,258,1,cps-1,-,-,,<1,8,>4,2,8,8,8,<2,>128/2,64/4,>4/76,32,>8,>8,>2,>8,4,8,0.5,0.5,1,"-, SHV238S, SHV-11, OXA-2","aphA1, aadB, aacA4,aadA1,  aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,,,,,,1,1,,,,,
1820,2011,NYC,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,32,>8,>8,>2,>8,4,4,0.5,1,2,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,,,,,1,1,,,,,
1821,2011,NYC,K. pneumoniae,urine,258,1,cps-1,KPC-2,a,3,>8,>8,>4,>2,>16,>32,>16,>16,>128/2,>64/4,>4/76,>32,>8,>8,>2,>8,4,4,0.5,0.5,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-stop,WT,1,,,1,1,,,,1,1,,,,,
1822,2012,Canada,K. pneumoniae,,258,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,<= 0.5/9.5,32,2,> 8,> 2,> 8,4,4,0.5,> 4,> 4,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,1,,1,1,,,,,
1823,2012,Canada,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,4,8,1,1,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aacC1, aadA1, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,1,,,,1,,,,,
1824,2012,NYC,K. pneumoniae,Blood,258,2,cps-2,KPC-3,d,1,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,4,4,0.5,> 4,> 4,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 , strAB","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,,1,1,1,,1,,,,,,,,,
1825,2012,Colombia,K. pneumoniae,,512,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,<= 0.5/9.5,> 32,2,> 8,> 2,> 8,8,8,1,<= 0.25,1,"KPC-3, SHV-11, TEM-1, OXA-9","aacA4, aadA2","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,1,,,1,,,,,
1826,2012,Colombia,K. pneumoniae,,512,2,cps-2,KPC-3,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,32,4,> 8,> 2,> 8,8,16,1,0.5,1,"KPC-3, SHV-11, TEM-1, OXA-9","aphA1, aacA4, aadA2 ","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,1,,,1,,,,,
1827,2012,TX,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,4,> 8,> 2,> 8,8,8,1,1,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aacA4, aadA2","gyrA:Ser83Ile; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,1,,,1,,,,,
1828,2012,TX,K. pneumoniae,,258,1,cps-1,KPC-2,a,3,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,4,> 8,> 2,> 8,8,8,2,0.5,1,"KPC-2, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA2","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,,1,,,1,,,1,,,,,
1829,2012,Fl,K. pneumoniae,urine,258,2,cps-2,KPC-3,b,,<= 1,<= 1,<= 0.25,<= 0.12,> 16,32,<= 2,> 16,128/2,<= 8/4,<= 0.5/9.5,<= 4,4,<= 1,<= 0.25,<= 1,4,4,0.5,1,2,"KPC-3, CMY-2, SHV-11, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,1,1,1,1,,1,1,,,,,,
1830,2012,Fl,K. pneumoniae,Rectal ,258,2,cps-2,KPC-3,b,2,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,> 8,> 8,> 2,> 8,8,4,1,<= 0.25,1,"KPC-3, SHV-11, SHV-12, TEM-1, OXA-9","aphA1, aacA4, aadA1, aadA2 ","gyrA:Ser83Ile;Asp87Asn; parC:Ser80Ile; oqxA, oqxB",aa89-STOP,WT,1,,1,1,,1,,1,1,,,,,,
1831,2012,Fl,K. pneumoniae,Wound,258,2,cps-2,KPC-3,d,1,> 8,> 8,> 4,> 2,> 16,> 32,> 16,> 16,> 128/2,> 64/4,> 4/76,> 32,8,> 8,> 2,8,<= 2,<= 2,0.5,1,0.5,"KPC-3, SHV-11, OXA-9","aacA4, aadA1, strAB",gyrA:Ser83Ile; parC:Ser80Ile,aa89-STOP,promoter del (380bp),,1,1,1,,1,,,,,,,,,
